cones,cone_length,cone_width,stalk_length,scale_length,scale_width,scale_number,cone_ratio,angle,hue,value,chroma,profile,openness,seed_number,filled_seeds,viability,seed_weight,dry_weight,wet_weight
55,46.19,25.32,8.56,8.23,8.47,54,2.957943925,11,1,7,4,2,3,36,31,0.861111111,0.225,7.14,10.89
55,43.84,22.92,9,6.75,7.52,57,2.546666667,7,1,7,4,2,3,35,33,0.942857143,0.222,6.56,7.85
6,36.62,21.8,10.2,7.41,6.6,56,2.137254902,12,1,8,2,1,3,35,28,0.8,0.279,3.86,5.61
6,37.21,21.41,12.17,7.68,6.85,57,1.759244043,10,1,8,2,1,3,31,29,0.935483871,0.292,3.77,5.55
6,38.39,22.33,10.23,7.98,8.34,62,2.182795699,10,1,6,4,1,4,38,35,0.921052632,0.35,4.4,6.54
6,39.57,21.87,9.75,6.75,7.51,64,2.243076923,12,1,8,2,1,4,41,36,0.87804878,0.344,4.41,6.46
6,50.05,26.12,11.29,8.63,8.68,76,2.313551816,9,1,8,6,1,4,48,42,0.875,0.481,8.47,12
14,44.9,22.44,12.05,6.27,6.11,92,1.862240664,10,1,6,4,2,4,36,29,0.805555556,0.289,6.51,9.07
14,44.51,23,11.21,7.51,6.64,80,2.051739518,6,1,6,4,2,4,43,38,0.88372093,0.329,6.3,8.81
14,45.28,23.85,10.9,7.69,7.08,74,2.188073394,8,1,6,4,2,4,51,39,0.764705882,0.352,6.19,8.83
14,45.39,23.32,12.49,8.2,6.26,83,1.867093675,15,1,6,4,2,4,53,42,0.79245283,0.408,6.72,9.54
29,40.9,19.14,9.95,7.34,8.67,40,1.92361809,7,1,5,2,1,4,20,13,0.65,0.192,3.07,5.3
29,47.25,22.79,10.8,8.11,8.7,50,2.110185185,9,1,8,4,1,3,19,13,0.684210526,0.167,5.5,8.33
29,49.4,24.36,9.26,8.79,9.16,56,2.630669546,10,1,8,4,1,3,39,35,0.897435897,0.428,6.8,10.4
29,50.98,23.71,10.57,9.18,9.24,57,2.243140965,5,1,8,4,1,4,40,35,0.875,0.432,6.45,10.31
29,39.31,19.86,11.22,8.03,7.9,46,1.770053476,7,1,6,4,1,4,45,42,0.933333333,0.413,3.33,6.12
11,32.37,19.28,7.7,6.44,6.09,53,2.503896104,5,1,8,2,2,2,19,16,0.842105263,0.128,3.28,4.7
11,41.66,23.51,9.7,8.32,8.51,58,2.42371134,11,1,8,2,3,2,29,20,0.689655172,0.165,6.04,8.68
11,36.62,20.77,9.46,7.78,7.72,59,2.195560254,10,1,7,4,3,2,27,22,0.814814815,0.165,4.12,5.99
11,33.32,19.14,9.11,7.5,6.42,48,2.100987925,7,1,7,4,2,2,25,24,0.96,0.125,3.24,4.67
11,42.12,22.72,9.05,7.81,7.66,62,2.510497238,11,1,8,4,2,3,41,34,0.829268293,0.265,5.35,7.8
95,35.43,19.67,8.81,5.96,5.93,59,2.232690125,6,1,7,2,1,4,28,27,0.964285714,0.299,4.22,5.96
